,gene_ids
TRDC,ENSG00000211829.9
TRAC,ENSG00000277734.8
ABHD4,ENSG00000100439.10
SLC7A7,ENSG00000155465.19
REM2,ENSG00000139890.10
PRMT5-AS1,ENSG00000237054.9
PPP1R3E,ENSG00000235194.9
BCL2L2,ENSG00000129473.10
SLC22A17,ENSG00000092096.17
CMTM5,ENSG00000166091.21
ZFHX2-AS1,ENSG00000157306.14
AL135999.1,ENSG00000258727.1
CARMIL3,ENSG00000186648.15
RNF31,ENSG00000092098.17
IRF9,ENSG00000213928.9
REC8,ENSG00000100918.13
AL136295.7,ENSG00000278784.1
DHRS1,ENSG00000157379.14
NOP9,ENSG00000196943.14
LTB4R,ENSG00000213903.9
ADCY4,ENSG00000129467.13
CBLN3,ENSG00000139899.11
KHNYN,ENSG00000100441.10
GZMH,ENSG00000100450.13
GZMB,ENSG00000100453.13
STRN3,ENSG00000196792.12
HEATR5A,ENSG00000129493.15
ARHGAP5,ENSG00000100852.13
EGLN3,ENSG00000129521.15
RPS19P3,ENSG00000240463.1
NFKBIA,ENSG00000100906.11
TRAPPC6B,ENSG00000182400.15
AL132639.2,ENSG00000258940.2
TOGARAM1,ENSG00000198718.13
KLHDC1,ENSG00000197776.8
AL627171.3,ENSG00000278002.1
LINC01588,ENSG00000214900.11
SOS2,ENSG00000100485.12
CDKL1,ENSG00000100490.9
MAP4K5,ENSG00000012983.11
ATL1,ENSG00000198513.13
SAV1,ENSG00000151748.15
PYGL,ENSG00000100504.17
FRMD6-AS1,ENSG00000273888.1
PTGDR,ENSG00000168229.4
PTGER2,ENSG00000125384.7
CDKN3,ENSG00000100526.20
SAMD4A,ENSG00000020577.14
SOCS4,ENSG00000180008.9
LGALS3,ENSG00000131981.16
DLGAP5,ENSG00000126787.13
FBXO34,ENSG00000178974.10
ATG14,ENSG00000126775.9
PELI2,ENSG00000139946.10
TMEM260,ENSG00000070269.14
KIAA0586,ENSG00000100578.17
DAAM1,ENSG00000100592.15
L3HYPDH,ENSG00000126790.12
RTN1,ENSG00000139970.17
PCNX4,ENSG00000126773.13
PPM1A,ENSG00000100614.18
PRKCH,ENSG00000027075.15
AL359220.1,ENSG00000247287.3
HIF1A,ENSG00000100644.17
AL136038.5,ENSG00000261242.1
AL136038.7,ENSG00000274015.2
SYNE2,ENSG00000054654.18
AKAP5,ENSG00000179841.8
ZBTB1,ENSG00000126804.13
HSPA2,ENSG00000126803.9
PLEKHG3,ENSG00000126822.17
MAX,ENSG00000125952.20
FUT8-AS1,ENSG00000276116.2
TMEM229B,ENSG00000198133.8
ARG2,ENSG00000081181.8
RDH11,ENSG00000072042.13
ZFYVE26,ENSG00000072121.16
ZFP36L1,ENSG00000185650.10
ACTN1,ENSG00000072110.13
SUSD6,ENSG00000100647.8
SYNJ2BP,ENSG00000213463.5
MAP3K9,ENSG00000006432.15
PCNX1,ENSG00000100731.16
AC004817.3,ENSG00000269927.1
SIPA1L1,ENSG00000197555.9
RGS6,ENSG00000182732.18
ZFYVE1,ENSG00000165861.14
PSEN1,ENSG00000080815.19
NUMB,ENSG00000133961.20
PNMA1,ENSG00000176903.5
MIDEAS,ENSG00000156030.13
FAM161B,ENSG00000156050.10
ENTPD5,ENSG00000187097.12
NPC2,ENSG00000119655.11
AREL1,ENSG00000119682.17
MLH3,ENSG00000119684.15
NEK9,ENSG00000119638.13
FOS,ENSG00000170345.10
LINC01220,ENSG00000259687.2
JDP2,ENSG00000140044.13
BATF,ENSG00000156127.8
FLVCR2,ENSG00000119686.10
GPATCH2L,ENSG00000089916.18
AC007686.3,ENSG00000273729.1
POMT2,ENSG00000009830.11
TSHR,ENSG00000165409.17
STON2,ENSG00000140022.13
LINC02328,ENSG00000258733.6
NRDE2,ENSG00000119720.18
TTC7B,ENSG00000165914.15
CCDC88C,ENSG00000015133.19
AL121839.2,ENSG00000260711.2
TC2N,ENSG00000165929.13
SLC24A4,ENSG00000140090.17
RIN3,ENSG00000100599.16
LGMN,ENSG00000100600.15
BTBD7,ENSG00000011114.15
ASB2,ENSG00000100628.12
IFI27,ENSG00000165949.12
SERPINA1,ENSG00000197249.14
DICER1,ENSG00000100697.14
DICER1-AS1,ENSG00000235706.8
CLMN,ENSG00000165959.12
SYNE3,ENSG00000176438.12
TCL1A,ENSG00000100721.11
ATG2B,ENSG00000066739.12
LINC01550,ENSG00000246223.9
BCL11B,ENSG00000127152.18
EVL,ENSG00000196405.13
SLC25A29,ENSG00000197119.13
WARS1,ENSG00000140105.18
AL132709.8,ENSG00000288302.1
PPP2R5C,ENSG00000078304.19
AL118558.3,ENSG00000271780.1
ZNF839,ENSG00000022976.15
TECPR2,ENSG00000196663.16
ANKRD9,ENSG00000156381.9
CDC42BPB,ENSG00000198752.11
TNFAIP2,ENSG00000185215.10
CKB,ENSG00000166165.13
AL049840.6,ENSG00000269958.1
PPP1R13B,ENSG00000088808.18
TDRD9,ENSG00000156414.19
INF2,ENSG00000203485.13
AL590326.1,ENSG00000279140.1
PLD4,ENSG00000166428.14
GPR132,ENSG00000183484.12
BRF1,ENSG00000185024.17
TEX22,ENSG00000226174.7
CRIP2,ENSG00000182809.11
IGHA1,ENSG00000211895.5
IGHM,ENSG00000211899.10
HERC2P3,ENSG00000180229.12
HERC2P2,ENSG00000276550.4
WHAMMP3,ENSG00000276141.4
NIPA1,ENSG00000170113.16
CYFIP1,ENSG00000273749.5
SNHG14,ENSG00000224078.15
ATP10A,ENSG00000206190.12
HERC2,ENSG00000128731.18
HERC2P9,ENSG00000206149.10
WHAMMP2,ENSG00000248334.6
APBA2,ENSG00000034053.14
AC127502.1,ENSG00000215302.8
AC127502.2,ENSG00000270055.1
MTMR10,ENSG00000166912.17
LINC02352,ENSG00000259448.3
KLF13,ENSG00000169926.11
OTUD7A,ENSG00000169918.9
AC135983.3,ENSG00000223509.8
LINC02256,ENSG00000261064.1
AC123768.3,ENSG00000262728.6
GOLGA8N,ENSG00000232653.8
PGBD4,ENSG00000182405.6
SLC12A6,ENSG00000140199.12
GOLGA8A,ENSG00000175265.17
GOLGA8B,ENSG00000215252.11
ZNF770,ENSG00000198146.4
LINC02345,ENSG00000259225.7
AC116158.3,ENSG00000286786.1
LINC02694,ENSG00000175779.4
THBS1,ENSG00000137801.11
AC037198.1,ENSG00000276107.1
BMF,ENSG00000104081.14
PLCB2,ENSG00000137841.12
INAFM2,ENSG00000259330.3
BAHD1,ENSG00000140320.12
RAD51-AS1,ENSG00000245849.8
VPS18,ENSG00000104142.11
LTK,ENSG00000062524.16
MGA,ENSG00000174197.16
MAPKBP1,ENSG00000137802.14
JMJD7-PLA2G4B,ENSG00000168970.22
AC020659.1,ENSG00000174171.6
VPS39,ENSG00000166887.15
CAPN3,ENSG00000092529.25
SNAP23,ENSG00000092531.10
STARD9,ENSG00000159433.12
TTBK2,ENSG00000128881.17
UBR1,ENSG00000159459.12
TP53BP1,ENSG00000067369.14
MAP1A,ENSG00000166963.13
EIF3J-DT,ENSG00000179523.5
PATL2,ENSG00000229474.6
SHF,ENSG00000138606.19
C15orf48,ENSG00000166920.12
SLC30A4,ENSG00000104154.7
DUT,ENSG00000128951.14
FAM227B,ENSG00000166262.16
ATP8B4,ENSG00000104043.15
HDC,ENSG00000140287.11
GABPB1-AS1,ENSG00000244879.8
DMXL2,ENSG00000104093.13
TMOD2,ENSG00000128872.10
GNB5,ENSG00000069966.18
MYO5A,ENSG00000197535.14
FAM214A,ENSG00000047346.12
AC018926.2,ENSG00000276533.1
CCPG1,ENSG00000260916.7
RFX7,ENSG00000181827.15
ZNF280D,ENSG00000137871.20
LINC00926,ENSG00000247982.6
AQP9,ENSG00000103569.10
LIPC,ENSG00000166035.11
MINDY2,ENSG00000128923.11
RNF111,ENSG00000157450.15
CCNB2,ENSG00000157456.8
MYO1E,ENSG00000157483.9
AC092755.2,ENSG00000259238.1
RORA,ENSG00000069667.16
TPM1,ENSG00000140416.23
LACTB,ENSG00000103642.12
APH1B,ENSG00000138613.14
HERC1,ENSG00000103657.14
DAPK2,ENSG00000035664.11
ZNF609,ENSG00000180357.9
PIF1,ENSG00000140451.13
PLEKHO2,ENSG00000241839.10
AC103691.1,ENSG00000274383.1
SLC24A1,ENSG00000074621.14
DENND4A,ENSG00000174485.15
RAB11A,ENSG00000103769.10
IQCH-AS1,ENSG00000259673.6
TLE3,ENSG00000140332.17
UACA,ENSG00000137831.15
MYO9A,ENSG00000066933.16
PARP6,ENSG00000137817.17
AC009690.2,ENSG00000261460.1
HEXA,ENSG00000213614.10
ADPGK-AS1,ENSG00000260898.6
NEO1,ENSG00000067141.17
NPTN-IT1,ENSG00000281183.1
UBL7-AS1,ENSG00000247240.8
ARID3B,ENSG00000179361.17
C15orf39,ENSG00000167173.19
NEIL1,ENSG00000140398.14
MAN2C1,ENSG00000140400.17
AC068338.2,ENSG00000260274.1
AC105020.6,ENSG00000275454.1
SNX33,ENSG00000173548.9
ETFA,ENSG00000140374.16
SCAPER,ENSG00000140386.13
PEAK1,ENSG00000173517.10
CTSH,ENSG00000103811.17
AC015871.6,ENSG00000286813.1
ST20,ENSG00000180953.11
AC015871.3,ENSG00000278600.1
ST20-AS1,ENSG00000259642.2
AC015871.8,ENSG00000288604.1
BCL2A1,ENSG00000140379.8
FAH,ENSG00000103876.13
AC105339.6,ENSG00000286817.1
HOMER2,ENSG00000103942.13
TM6SF1,ENSG00000136404.16
UBE2Q2P1,ENSG00000189136.9
AC048382.5,ENSG00000275120.3
SCAND2P,ENSG00000176700.20
NMB,ENSG00000197696.10
PDE8A,ENSG00000073417.15
AKAP13,ENSG00000170776.22
AEN,ENSG00000181026.15
ISG20,ENSG00000172183.15
POLG,ENSG00000140521.15
MIR9-3HG,ENSG00000255571.9
ANPEP,ENSG00000166825.14
AP3S2,ENSG00000157823.17
ARPIN,ENSG00000242498.8
ZNF710,ENSG00000140548.10
ZNF710-AS1,ENSG00000259291.2
SEMA4B,ENSG00000185033.14
AC124248.1,ENSG00000259704.2
FURIN,ENSG00000140564.12
FES,ENSG00000182511.12
MAN2A2,ENSG00000196547.15
VPS33B,ENSG00000184056.15
LINC01578,ENSG00000272888.7
AC013394.1,ENSG00000279765.3
MCTP2,ENSG00000140563.15
ARRDC4,ENSG00000140450.9
IGF1R,ENSG00000140443.15
SYNM,ENSG00000182253.15
LINS1,ENSG00000140471.17
LRRK1,ENSG00000154237.13
CHSY1,ENSG00000131873.7
TARS3,ENSG00000185418.16
WASH3P,ENSG00000185596.16
DDX11L10,ENSG00000233614.6
NPRL3,ENSG00000103148.16
HBA2,ENSG00000188536.13
HBA1,ENSG00000206172.8
HBQ1,ENSG00000086506.3
AXIN1,ENSG00000103126.15
Z97634.1,ENSG00000236829.9
NME4,ENSG00000103202.13
RAB11FIP3,ENSG00000090565.17
CAPN15,ENSG00000103326.12
PIGQ,ENSG00000007541.17
RAB40C,ENSG00000197562.10
RHBDL1,ENSG00000103269.13
BAIAP3,ENSG00000007516.14
UNKL,ENSG00000059145.19
CLCN7,ENSG00000103249.18
CRAMP1,ENSG00000007545.16
MAPK8IP3,ENSG00000138834.13
EME2,ENSG00000197774.13
MSRB1,ENSG00000198736.11
SNHG9,ENSG00000255198.4
TSC2,ENSG00000103197.18
PKD1,ENSG00000008710.20
BRICD5,ENSG00000182685.7
E4F1,ENSG00000167967.16
AC009065.5,ENSG00000260778.5
ABCA3,ENSG00000167972.14
TBC1D24,ENSG00000162065.14
AC141586.1,ENSG00000215154.6
ERVK13-1,ENSG00000260565.7
AC092117.2,ENSG00000279901.1
AC092117.1,ENSG00000276791.1
PRSS30P,ENSG00000172460.17
FLYWCH1,ENSG00000059122.16
PKMYT1,ENSG00000127564.17
MMP25-AS1,ENSG00000261971.8
MMP25,ENSG00000008516.17
AC108134.3,ENSG00000262370.6
ZNF213-AS1,ENSG00000263072.8
MEFV,ENSG00000103313.12
LINC00921,ENSG00000281005.1
TIGD7,ENSG00000140993.11
ZNF75A,ENSG00000162086.15
NLRC3,ENSG00000167984.18
SLX4,ENSG00000188827.11
DNASE1,ENSG00000213918.10
ADCY9,ENSG00000162104.10
AC012676.5,ENSG00000280063.1
CORO7,ENSG00000262246.6
CDIP1,ENSG00000089486.17
ANKS3,ENSG00000168096.15
ZNF500,ENSG00000103199.14
ROGDI,ENSG00000067836.13
METTL22,ENSG00000067365.15
ABAT,ENSG00000183044.12
C16orf72,ENSG00000182831.12
CIITA,ENSG00000179583.19
SOCS1,ENSG00000185338.6
LITAF,ENSG00000189067.12
SNN,ENSG00000184602.6
AC007613.1,ENSG00000262420.3
AC010654.1,ENSG00000277369.1
AC007216.4,ENSG00000263307.1
SNX29,ENSG00000048471.14
CPPED1,ENSG00000103381.12
MRTFB,ENSG00000186260.17
NOMO1,ENSG00000103512.15
PKD1P6,ENSG00000250251.6
MARF1,ENSG00000166783.22
SMG1,ENSG00000157106.17
COQ7,ENSG00000167186.11
ITPRIPL2,ENSG00000205730.6
DCUN1D3,ENSG00000188215.10
SMG1P3,ENSG00000180747.15
AC005632.3,ENSG00000261596.2
IGSF6,ENSG00000140749.9
RRN3P1,ENSG00000248124.7
NPIPB4,ENSG00000185864.16
SDR42E2,ENSG00000183921.7
RRN3P3,ENSG00000257122.5
SMG1P1,ENSG00000237296.9
NPIPB5,ENSG00000243716.10
GGA2,ENSG00000103365.15
PLK1,ENSG00000166851.15
PRKCB,ENSG00000166501.14
TNRC6A,ENSG00000090905.19
AC133552.2,ENSG00000262587.2
AC133552.5,ENSG00000275494.1
ZKSCAN2-DT,ENSG00000274925.1
NSMCE1-DT,ENSG00000245888.7
IL4R,ENSG00000077238.14
IL21R,ENSG00000103522.16
GTF3C1,ENSG00000077235.18
KIAA0556,ENSG00000047578.13
XPO6,ENSG00000169180.11
SBK1,ENSG00000188322.7
CLN3,ENSG00000188603.20
APOBR,ENSG00000184730.11
AC020765.2,ENSG00000275441.1
SULT1A2,ENSG00000197165.11
SULT1A1,ENSG00000196502.11
SH2B1,ENSG00000178188.14
RABEP2,ENSG00000177548.13
AC109460.3,ENSG00000261067.7
AC009093.2,ENSG00000260517.3
SLC7A5P1,ENSG00000260727.1
SPN,ENSG00000197471.12
AC120114.3,ENSG00000279789.1
TAOK2,ENSG00000149930.18
YPEL3,ENSG00000090238.12
GDPD3,ENSG00000102886.15
AC012645.3,ENSG00000261416.1
SMG1P5,ENSG00000183604.14
MYLPF,ENSG00000180209.12
ITGAL,ENSG00000005844.18
ZNF768,ENSG00000169957.10
ZNF764,ENSG00000169951.9
ZNF785,ENSG00000197162.10
PHKG2,ENSG00000156873.16
ZNF629,ENSG00000102870.6
SETD1A,ENSG00000099381.18
HSD3B7,ENSG00000099377.14
ZNF646,ENSG00000167395.10
AC135050.6,ENSG00000278133.1
PYCARD,ENSG00000103490.14
PYCARD-AS1,ENSG00000261359.2
ITGAM,ENSG00000169896.18
ITGAX,ENSG00000140678.17
ITGAD,ENSG00000156886.12
AC026471.1,ENSG00000260267.1
TGFB1I1,ENSG00000140682.19
CLUHP3,ENSG00000131797.12
PHKB,ENSG00000102893.16
NOD2,ENSG00000167207.13
CHD9,ENSG00000177200.17
AC007342.3,ENSG00000260078.3
LPCAT2,ENSG00000087253.13
CES1,ENSG00000198848.13
GNAO1,ENSG00000087258.15
AMFR,ENSG00000159461.15
BBS2,ENSG00000125124.12
MT3,ENSG00000087250.9
MT2A,ENSG00000125148.7
MT1E,ENSG00000169715.15
MT1G,ENSG00000125144.14
MT1X,ENSG00000187193.9
HERPUD1,ENSG00000051108.15
CETP,ENSG00000087237.12
NLRC5,ENSG00000140853.15
CPNE2,ENSG00000140848.17
CCL22,ENSG00000102962.5
CCL17,ENSG00000102970.11
ADGRG5,ENSG00000159618.16
ADGRG1,ENSG00000205336.13
ADGRG3,ENSG00000182885.17
KIFC3,ENSG00000140859.16
TEPP,ENSG00000159648.11
ZNF319,ENSG00000166188.2
SLC38A7,ENSG00000103042.9
RPS27AP16,ENSG00000224631.4
TK2,ENSG00000166548.16
CMTM2,ENSG00000140932.10
CMTM4,ENSG00000183723.12
HSF4,ENSG00000102878.17
EXOC3L1,ENSG00000179044.16
ELMO3,ENSG00000102890.16
TPPP3,ENSG00000159713.11
ZDHHC1,ENSG00000159714.11
AC009061.2,ENSG00000270049.3
RIPOR1,ENSG00000039523.20
RANBP10,ENSG00000141084.11
CENPT,ENSG00000102901.13
AC040162.1,ENSG00000261884.2
LCAT,ENSG00000213398.8
DPEP2,ENSG00000167261.14
AC020978.7,ENSG00000263276.1
AC020978.9,ENSG00000279649.1
SMPD3,ENSG00000103056.12
ZFP90,ENSG00000184939.16
SNTB2,ENSG00000168807.16
NFAT5,ENSG00000102908.22
AC009022.1,ENSG00000196696.13
PDPR,ENSG00000090857.14
SMG1P7,ENSG00000261556.10
ST3GAL2,ENSG00000157350.13
FCSK,ENSG00000157353.17
CMTR2,ENSG00000180917.17
ATXN1L,ENSG00000224470.8
ZNF821,ENSG00000102984.15
TXNL4B,ENSG00000140830.9
HP,ENSG00000257017.9
DHX38,ENSG00000140829.12
ZFHX3,ENSG00000140836.17
AC009120.2,ENSG00000259972.3
AC009053.2,ENSG00000214331.8
MLKL,ENSG00000168404.13
WDR59,ENSG00000103091.15
ADAT1,ENSG00000065457.10
MON1B,ENSG00000103111.15
SYCE1L,ENSG00000205078.6
AC027279.1,ENSG00000260816.2
MAF,ENSG00000178573.7
CMIP,ENSG00000153815.16
AC092139.3,ENSG00000279476.1
PLCG2,ENSG00000197943.10
MLYCD,ENSG00000103150.7
HSDL1,ENSG00000103160.12
TAF1C,ENSG00000103168.16
CRISPLD2,ENSG00000103196.12
KIAA0513,ENSG00000135709.12
GSE1,ENSG00000131149.19
C16orf74,ENSG00000154102.11
IRF8,ENSG00000140968.11
ZCCHC14,ENSG00000140948.13
SLC7A5,ENSG00000103257.9
BANP,ENSG00000172530.20
CYBA,ENSG00000051523.11
SNAI3-AS1,ENSG00000260630.7
SNAI3,ENSG00000185669.6
PIEZO1,ENSG00000103335.22
CBFA2T3,ENSG00000129993.15
AC009113.1,ENSG00000259877.2
ZNF778,ENSG00000170100.13
VPS9D1,ENSG00000075399.14
ZNF276,ENSG00000158805.12
FAM157C,ENSG00000260528.5
RPH3AL,ENSG00000181031.16
RFLNB,ENSG00000183688.4
VPS53,ENSG00000141252.20
CRK,ENSG00000167193.8
SLC43A2,ENSG00000167703.15
SCARF1,ENSG00000074660.16
RILP,ENSG00000167705.12
MIR22HG,ENSG00000186594.14
WDR81,ENSG00000167716.18
SERPINF1,ENSG00000132386.11
SMYD4,ENSG00000186532.12
SMG6,ENSG00000070366.14
SGSM2,ENSG00000141258.13
MNT,ENSG00000070444.15
AC015799.1,ENSG00000279432.1
RAP1GAP2,ENSG00000132359.15
CTNS,ENSG00000040531.16
TAX1BP3,ENSG00000213977.8
CAMKK1,ENSG00000004660.15
P2RX1,ENSG00000108405.4
ATP2A3,ENSG00000074370.18
ZZEF1,ENSG00000074755.15
CYB5D2,ENSG00000167740.10
ANKFY1,ENSG00000185722.18
AC127521.1,ENSG00000262823.1
CXCL16,ENSG00000161921.16
ZMYND15,ENSG00000141497.14
VMO1,ENSG00000182853.12
PLD2,ENSG00000129219.14
MINK1,ENSG00000141503.17
CHRNE,ENSG00000108556.10
GP1BA,ENSG00000185245.8
CAMTA2,ENSG00000108509.21
ZNF594,ENSG00000180626.10
SCIMP,ENSG00000161929.15
NLRP1,ENSG00000091592.16
AC055839.2,ENSG00000286190.1
KIAA0753,ENSG00000198920.11
XAF1,ENSG00000132530.17
ALOX12-AS1,ENSG00000215067.10
ALOX12,ENSG00000108839.12
RNASEK,ENSG00000219200.11
SLC16A11,ENSG00000174326.14
CLEC10A,ENSG00000132514.13
ASGR2,ENSG00000161944.16
ASGR1,ENSG00000141505.12
DLG4,ENSG00000132535.21
PHF23,ENSG00000040633.13
NEURL4,ENSG00000215041.10
KCTD11,ENSG00000213859.6
ZBTB4,ENSG00000174282.12
TNFSF13,ENSG00000161955.16
AC016876.3,ENSG00000264772.6
CD68,ENSG00000129226.14
FXR2,ENSG00000129245.12
KDM6B,ENSG00000132510.10
CHD3,ENSG00000170004.17
RNF227,ENSG00000179859.9
KCNAB3,ENSG00000170049.9
CNTROB,ENSG00000170037.14
PER1,ENSG00000179094.16
BORCS6,ENSG00000196544.8
AURKB,ENSG00000178999.13
LINC00324,ENSG00000178977.3
CTC1,ENSG00000178971.16
KRBA2,ENSG00000184619.7
PIK3R6,ENSG00000276231.5
PIK3R5,ENSG00000141506.13
GAS7,ENSG00000007237.18
HS3ST3B1,ENSG00000125430.9
AC005224.2,ENSG00000266378.1
TVP23C,ENSG00000175106.16
ZNF286A,ENSG00000187607.16
ADORA2B,ENSG00000170425.3
PIGL,ENSG00000108474.17
ZNF624,ENSG00000197566.10
CCDC144A,ENSG00000170160.17
FLCN,ENSG00000154803.13
NT5M,ENSG00000205309.14
RPL13P12,ENSG00000215030.5
RASD1,ENSG00000108551.5
RAI1,ENSG00000108557.19
SREBF1,ENSG00000072310.17
TOM1L2,ENSG00000175662.17
TOP3A,ENSG00000177302.15
SMCR8,ENSG00000176994.11
LGALS9C,ENSG00000171916.17
CCDC144B,ENSG00000154874.15
SNORD3B-1,ENSG00000265185.5
SNORD3B-2,ENSG00000262074.6
AC007952.4,ENSG00000262202.4
SNORD3A,ENSG00000263934.4
EPN2,ENSG00000072134.15
ULK2,ENSG00000083290.20
AKAP10,ENSG00000108599.15
SPECC1,ENSG00000128487.16
LGALS9B,ENSG00000170298.15
NATD1,ENSG00000274180.1
WSB1,ENSG00000109046.15
KSR1,ENSG00000141068.14
LGALS9,ENSG00000168961.17
NLK,ENSG00000087095.13
SARM1,ENSG00000004139.14
ALDOC,ENSG00000109107.14
SPAG5-AS1,ENSG00000227543.5
RSKR,ENSG00000167524.16
PROCA1,ENSG00000167525.14
NEK8,ENSG00000160602.14
MYO18A,ENSG00000196535.16
TAOK1,ENSG00000160551.11
ABHD15,ENSG00000168792.5
CORO6,ENSG00000167549.18
CPD,ENSG00000108582.12
ADAP2,ENSG00000184060.11
RNF135,ENSG00000181481.14
AC138207.8,ENSG00000266865.6
NF1,ENSG00000196712.18
EVI2B,ENSG00000185862.7
RAB11FIP4,ENSG00000131242.18
LRRC37B,ENSG00000185158.12
SH3GL1P1,ENSG00000266777.1
AC116407.2,ENSG00000277511.1
CDK5R1,ENSG00000176749.9
CCL2,ENSG00000108691.9
CCL1,ENSG00000108702.4
SLFN5,ENSG00000166750.10
AC022706.1,ENSG00000267364.2
SLFN12,ENSG00000172123.12
SLFN13,ENSG00000154760.14
AC015911.4,ENSG00000267312.1
SLFN12L,ENSG00000205045.10
AC015911.11,ENSG00000286065.1
CCL5,ENSG00000271503.6
CCL23,ENSG00000274736.5
AC243829.4,ENSG00000277089.4
CCL3,ENSG00000277632.2
CCL4,ENSG00000275302.2
AC243829.2,ENSG00000276241.1
AC243829.1,ENSG00000274767.1
CCL3L1,ENSG00000276085.1
CCL4L2,ENSG00000276070.5
NPEPPSP1,ENSG00000274487.2
SOCS7,ENSG00000274211.6
AC006449.7,ENSG00000277969.1
MLLT6,ENSG00000275023.5
PIP4K2B,ENSG00000276293.4
LINC00672,ENSG00000263874.2
PLXDC1,ENSG00000161381.14
CACNB1,ENSG00000067191.16
FBXL20,ENSG00000108306.13
ERBB2,ENSG00000141736.13
IKZF3,ENSG00000161405.17
GSDMB,ENSG00000073605.18
THRA,ENSG00000126351.13
NR1D1,ENSG00000126368.6
MSL1,ENSG00000188895.12
RAPGEFL1,ENSG00000108352.12
WIPF2,ENSG00000171475.14
RARA,ENSG00000131759.18
RARA-AS1,ENSG00000265666.1
TOP2A,ENSG00000131747.15
IGFBP4,ENSG00000141753.7
CCR7,ENSG00000126353.3
JUP,ENSG00000173801.17
P3H4,ENSG00000141696.13
KLHL11,ENSG00000178502.6
ATP6V0A1,ENSG00000033627.16
HSD17B1,ENSG00000108786.10
AC067852.2,ENSG00000266962.2
RETREG3,ENSG00000141699.11
TUBG2,ENSG00000037042.9
CCR10,ENSG00000184451.5
EZH1,ENSG00000108799.13
RUNDC1,ENSG00000198863.7
AC060780.1,ENSG00000267002.4
LINC00910,ENSG00000188825.14
AC109326.1,ENSG00000279602.1
DUSP3,ENSG00000108861.9
HDAC5,ENSG00000108840.15
ATXN7L3,ENSG00000087152.15
AC003102.1,ENSG00000260793.2
GRN,ENSG00000030582.18
ITGA2B,ENSG00000005961.19
PLCD3,ENSG00000161714.12
AC142472.1,ENSG00000276728.1
HEXIM1,ENSG00000186834.4
AC138150.1,ENSG00000224505.2
HEXIM2,ENSG00000168517.10
AC008105.3,ENSG00000267121.6
MAP3K14,ENSG00000006062.17
ARHGAP27,ENSG00000159314.11
PLEKHM1,ENSG00000225190.11
LRRC37A4P,ENSG00000214425.8
KANSL1,ENSG00000120071.14
KANSL1-AS1,ENSG00000214401.4
ARL17B,ENSG00000228696.10
LRRC37A2,ENSG00000238083.7
FAM215B,ENSG00000232300.1
GOSR2,ENSG00000108433.17
AC005670.3,ENSG00000262879.6
ITGB3,ENSG00000259207.9
EFCAB13,ENSG00000178852.16
TBKBP1,ENSG00000198933.9
TBX21,ENSG00000073861.3
OSBPL7,ENSG00000006025.12
CDK5RAP3,ENSG00000108465.15
HOXB2,ENSG00000173917.10
HOXB4,ENSG00000182742.6
AC103702.2,ENSG00000272763.1
ABI3,ENSG00000108798.9
ZNF652,ENSG00000198740.8
PPP1R9B,ENSG00000108819.11
XYLT2,ENSG00000015532.10
MYCBPAP,ENSG00000136449.15
ABCC3,ENSG00000108846.16
TOB1,ENSG00000141232.5
SPAG9,ENSG00000008294.21
MBTD1,ENSG00000011258.16
AC005839.1,ENSG00000279089.1
STXBP4,ENSG00000166263.13
HLF,ENSG00000108924.14
MMD,ENSG00000108960.9
PCTP,ENSG00000141179.14
C17orf67,ENSG00000214226.9
DGKE,ENSG00000153933.10
TRIM25,ENSG00000121060.18
AC015912.3,ENSG00000274213.1
SCPEP1,ENSG00000121064.13
MSI2,ENSG00000153944.11
AC091181.1,ENSG00000279555.1
CUEDC1,ENSG00000180891.13
AC015813.1,ENSG00000264112.1
MPO,ENSG00000005381.8
TSPOAP1,ENSG00000005379.17
TSPOAP1-AS1,ENSG00000265148.6
AC004687.1,ENSG00000265206.5
MTMR4,ENSG00000108389.9
SEPTIN4,ENSG00000108387.15
TRIM37,ENSG00000108395.14
GDPD1,ENSG00000153982.11
YPEL2,ENSG00000175155.10
AC091271.1,ENSG00000273702.1
VMP1,ENSG00000062716.13
USP32,ENSG00000170832.13
APPBP2,ENSG00000062725.10
BCAS3,ENSG00000141376.22
MED13,ENSG00000108510.10
AC018628.2,ENSG00000279133.1
TANC2,ENSG00000170921.15
CYB561,ENSG00000008283.16
MAP3K3,ENSG00000198909.8
AC046185.3,ENSG00000279369.1
ICAM2,ENSG00000108622.11
ERN1,ENSG00000178607.16
PECAM1,ENSG00000261371.6
MILR1,ENSG00000271605.6
POLG2,ENSG00000256525.8
CEP95,ENSG00000258890.7
SMURF2,ENSG00000108854.16
ARHGAP27P1-BPTFP1-KPNA2P3,ENSG00000215769.8
PLEKHM1P1,ENSG00000214176.9
RGS9,ENSG00000108370.17
AC007448.4,ENSG00000266473.1
PITPNC1,ENSG00000154217.15
AC079331.2,ENSG00000279917.1
KPNA2,ENSG00000182481.9
LINC00674,ENSG00000237854.3
AC005332.6,ENSG00000278730.1
AC005332.5,ENSG00000277476.1
AC005332.4,ENSG00000274712.1
ARSG,ENSG00000141337.12
SLC16A6,ENSG00000108932.12
WIPI1,ENSG00000070540.13
FAM20A,ENSG00000108950.12
ABCA5,ENSG00000154265.16
MAP2K6,ENSG00000108984.15
KCNJ2,ENSG00000123700.5
DNAI2,ENSG00000171595.14
